name,year,sust_winds_mph,pressure_hpa,category
One,1851,90.0,977.0,1
Two,1851,90.0,978.0,1
Hurricane San Lorenzo of 1852,1852,80.0,,1
Three,1852,80.0,985.0,1
Four,1852,90.0,,1
Six,1853,80.0,,1
One,1854,80.0,982.0,1
Three,1855,80.0,,1
Two,1856,80.0,,1
Six,1856,80.0,,1
Three,1857,80.0,,1
One,1858,80.0,,1
Two,1858,80.0,,1
Four,1858,90.0,,1
Five,1858,90.0,,1
Three,1859,80.0,,1
Five,1859,80.0,982.0,1
Eight,1859,90.0,974.0,1
Three,1860,80.0,,1
Two,1861,90.0,978.0,1
Four,1861,80.0,,1
Five,1861,80.0,978.0,1
The Expedition Hurricane of 1861,1861,80.0,985.0,1
Five,1862,80.0,,1
Five,1863,80.0,,1
One,1864,80.0,,1
Three,1864,80.0,,1
Five,1864,80.0,,1
Three,1866,80.0,,1
Four,1866,80.0,,1
One,1867,80.0,985.0,1
Four,1867,80.0,,1
Five,1869,80.0,985.0,1
The Mobile Hurricane of 1870,1870,80.0,985.0,1
Five,1870,90.0,969.0,1
Seven,1870,80.0,,1
Eight,1870,80.0,,1
Eleven,1870,80.0,,1
Six,1871,80.0,,1
Seven,1871,80.0,,1
Eight,1871,80.0,,1
Three,1872,80.0,,1
Four,1872,80.0,,1
Five,1872,80.0,,1
Three,1873,80.0,985.0,1
Two,1874,80.0,,1
Three,1874,90.0,980.0,1
Six,1874,90.0,981.0,1
One,1875,80.0,,1
Two,1875,80.0,982.0,1
Six,1875,80.0,,1
One,1876,90.0,970.0,1
Two,1877,80.0,985.0,1
Three,1877,80.0,,1
Two,1878,80.0,,1
Three,1878,90.0,963.0,1
Eight,1878,80.0,982.0,1
Nine,1878,80.0,,1
One,1879,80.0,,1
Seven,1879,80.0,,1
Three,1880,90.0,980.0,1
Five,1880,90.0,977.0,1
Six,1880,80.0,987.0,1
Seven,1880,90.0,982.0,1
Nine,1880,80.0,985.0,1
Ten,1880,90.0,970.0,1
Three,1881,90.0,,1
Four,1881,80.0,,1
One,1882,80.0,,1
Five,1882,80.0,,1
One,1883,90.0,975.0,1
One,1884,80.0,997.0,1
Three,1884,90.0,979.0,1
One,1885,90.0,981.0,1
Four,1885,90.0,973.0,1
Five,1885,80.0,999.0,1
Six,1885,80.0,,1
Seven,1885,90.0,982.0,1
Four,1886,85.0,990.0,1
Ten,1887,80.0,983.0,1
Thirteen,1887,85.0,981.0,1
Fourteen,1887,85.0,989.0,1
Seventeen,1887,80.0,,1
Eighteen,1887,80.0,,1
One,1888,80.0,985.0,1
Six,1888,80.0,985.0,1
One,1889,80.0,,1
Two,1889,75.0,,1
Three,1889,80.0,998.0,1
Five,1889,80.0,,1
Four,1890,90.0,,1
One,1891,90.0,977.0,1
Two,1891,80.0,997.0,1
Nine,1891,85.0,992.0,1
Two,1892,75.0,,1
Eight,1892,90.0,,1
One,1893,80.0,990.0,1
Two,1897,85.0,981.0,1
Five,1897,80.0,993.0,1
One,1898,80.0,982.0,1
Two,1898,85.0,980.0,1
Three,1898,80.0,,1
Hurricane San Cirillo of 1901,1901,80.0,983.0,1
1901 Louisiana hurricane,1901,90.0,973.0,1
Six,1901,80.0,991.0,1
Hurricane San Vicente of 1901,1901,80.0,1001.0,1
Thirteen,1901,80.0,989.0,1
Two,1902,80.0,995.0,1
One,1903,80.0,999.0,1
1903 Florida hurricane,1903,90.0,974.0,1
Ten,1903,80.0,985.0,1
One,1904,80.0,1003.0,1
Two,1904,80.0,985.0,1
Three,1904,80.0,,1
Four,1904,80.0,989.0,1
Five,1906,90.0,977.0,1
Eleven,1906,80.0,997.0,1
Two,1908,75.0,989.0,1
Three,1908,80.0,985.0,1
Two,1911,80.0,982.0,1
Four,1912,90.0,986.0,1
Five,1912,90.0,996.0,1
One,1913,75.0,988.0,1
Four,1913,85.0,976.0,1
Five,1913,75.0,989.0,1
Six,1913,75.0,992.0,1
One,1915,75.0,990.0,1
Eight,1916,80.0,986.0,1
Ten,1916,85.0,1000.0,1
Three,1918,75.0,988.0,1
Three,1920,85.0,,1
Five,1920,85.0,987.0,1
One,1921,90.0,980.0,1
Two,1921,80.0,985.0,1
Four,1921,90.0,979.0,1
Three,1922,80.0,987.0,1
Four,1923,80.0,986.0,1
Six,1923,80.0,983.0,1
Five,1924,85.0,980.0,1
Eleven,1924,80.0,994.0,1
One,1925,80.0,994.0,1
Two,1927,90.0,1007.0,1
Three,1927,80.0,1005.0,1
1928 Haiti hurricane,1928,90.0,998.0,1
Six,1928,90.0,980.0,1
One,1929,90.0,982.0,1
Five,1929,80.0,997.0,1
Eight,1931,75.0,987.0,1
1932 Florida–Alabama hurricane,1932,85.0,979.0,1
1933 Florida–Mexico hurricane,1933,90.0,975.0,1
Fifteen,1933,75.0,991.0,1
Eighteen,1933,90.0,982.0,1
Two,1934,90.0,980.0,1
Three,1934,85.0,975.0,1
Five,1934,80.0,989.0,1
1935 Jérémie hurricane,1935,85.0,988.0,1
Three,1936,80.0,987.0,1
Eight,1936,75.0,999.0,1
Eleven,1936,80.0,1000.0,1
Eleven,1937,80.0,995.0,1
Two,1939,75.0,985.0,1
Six,1939,90.0,989.0,1
Eight,1940,80.0,983.0,1
Three,1941,80.0,978.0,1
Two,1942,80.0,992.0,1
One,1944,80.0,995.0,1
Three,1944,80.0,985.0,1
Eight,1944,80.0,996.0,1
Twelve,1944,80.0,998.0,1
Ten,1945,90.0,982.0,1
Two,1946,80.0,1005.0,1
Three,1947,80.0,984.0,1
Five,1948,80.0,983.0,1
Ten,1948,75.0,990.0,1
Ten,1949,80.0,1003.0,1
Thirteen,1949,90.0,981.0,1
Love,1950,80.0,987.0,1
Able,1951,90.0,973.0,1
Dog,1951,90.0,992.0,1
Jig,1951,75.0,990.0,1
Twelve,1951,80.0,995.0,1
Barbara,1953,90.0,973.0,1
Dolly,1953,75.0,989.0,1
Gail,1953,80.0,986.0,1
Hazel,1953,85.0,980.0,1
Dolly,1954,85.0,994.0,1
Alice,1955,90.0,980.0,1
Gladys,1955,90.0,996.0,1
Anna,1956,85.0,991.0,1
